,SMILES,bace,esol,logD
221,O=C(CC1=CSC(C2=CC(Br)=CC=C2)=N1)N(CCN1C=CN=C1)C1CCSCC1,,,
222,CC1=CC=CN=C1N(C)S(=O)(=O)C1=CC2=C(C=CC=C2Br)S1,,,
223,CC(CNC1CCC(C(F)(F)C(=O)O)C1)C1=CC=C(S(C)(=O)=O)C=C1,,,
224,CCS(=O)C1CCCC(NC(=O)C2(N3C=NC=N3)CC2)C1,,,
225,BrC1=C(CN2C3CCC2CC3)OC=C1,,,
226,COCC(C)N1CCC2(CC1)CC2NC(=O)CC1CCOCC1,,,
227,O=C(NC1=CC=CC=C1CN1C=NC=N1)N1CC2COC(C2)C1,,,
228,CC1=NN=NN1C(CC1=CC=CC(F)=C1)C(=O)NC1=CN=C2CCN(C(=O)OC(C)(C)C)CC2=C1,,,
229,CC1CC(C)(C)CCC1NC(=O)NC1=CC(C2CCOCC2)=NN1C,,,
230,CC1CCC2=C(C1)SC=C2C(=O)OC1CCOC(C2CCOC2)C1,,,
231,CC1=CN=C2C=CC=CC2=C1C(=O)NC1=CC=CC(C2=NC=CS2)=C1,,,
232,COC(=O)C1=NC=CC=C1S(=O)(=O)N[C@@H]1CC[C@H](CC#N)C1,,,
233,COC1=CC=CC=C1C(CNCC(OC)C1CCCCC1)OC(C)C,,,
234,CC1(C)C2=CC=CC=C2CCN1S(=O)(=O)CCCC1CCOCC1,,,
235,CCCSC1=CC=CC(C2=NN=C(C3CCOC3)O2)=C1,,,
236,COC1=CC=C2OC(C(C)NC(=O)C3=C(OC)C=CC4=CC=CN=C34)=C(C)C2=C1,,,
237,O=C(CC(C1CC1)C1CC1)NCC1CN(C(=O)C23CCC(CC2)CC3)C1,,,
238,CCN(C(C)=O)C1=CC=C(NCC2=CC=C(C3=CC=CC(F)=C3F)O2)C=N1,,,
239,O=C(CNC(=O)C1=CC2=CC(Br)=CC(Br)=C2O1)C1=CC(F)=CC=C1,,,
240,CC1=CC2=C(C(=O)NC3CC(N(C)C(=O)C4=NN5CCOC5=C4)C3)C=NN2C=C1,,,
241,CCC1=CC=C(C2=NC(CC(=O)N3CC45CCCCC4(CN(C)C5)C3)=CS2)C=C1,,,
242,O=C(CSC1=CC=NC=C1)OC1(C2=C(Cl)C=CC=C2F)CC1,,,
243,CC1=CN=C(C(C)OC(=O)CCOC2=CC=CC=C2Br)O1,,,
244,N#CC1=CC=C(CNC(=O)CNC(C2=CC=C3OCCOC3=C2)C2=CC=CC=C2Cl)C=C1,,,
245,CCCN(CCNC(=O)CC1=CN(CC)N=C1)C1=CC(F)=NC=N1,,,
246,CC1(C)CN(CC2=NN=C3C(=O)[NH]C=CN23)C1C1CCCO1,,,
247,CC1(N)CCCCC1C(=O)NC1=CC=C(OC2=CC=CC=N2)C=C1,,,
248,COC1=CC(C(=O)N(C)CC(O)CNC2=NC(C3CCCC3)=NS2)=NN1C,,,
249,O=C(C1=CC=C2N=CSC2=C1)N1CC2(CCN(C(=O)C3=N[NH]C(=O)C=C3)C2)C1,,,
250,CCCN(C(=O)C1=C[NH]C(C)=CC1=O)C1CCN(CCC2=CC=CC=C2F)CC1,,,
251,COCC1=CC(Cl)=CC(S(=O)(=O)N2CCC(C)(CN3CCN(C)CC3)CC2)=C1,,,
252,COC1=CC=CC=C1CN(CCO)C(=O)CC1CC(OC(C)(C)C)C1(C)C,,,
