,SMILES,esol,logD,bace
183,CCC1C2=C(CCN1CC1=CC(=O)N3N=CC=C3[NH]1)SC=C2,-4.7788153,0.11096159,4.0729566
184,CC(C)N1C=C(CNC2=NC=C(CC3=CC=CC=C3Cl)S2)C=N1,-4.276477,-0.24308497,4.2763276
185,CCC1=CC(OCC(=O)N2CCC3=C(F)C=C(F)C=C3C2)=CC=C1Cl,-5.049886,0.34045187,4.1167145
186,CC1=C(CN(C)CC2CCN(C(=O)C3CSC4(C5=CC=C(F)C=C5)CCC(=O)N34)C2)SC=N1,-5.0843287,1.2410531,4.5020638
187,CC(C)CC1=CC=C(C#N)C(N2CC(C)C(C)(CO)C2)=N1,-3.9508533,0.2898377,3.6609747
188,CN1CCN=C1N1CCC=C(Cl)C1.I,-3.5522375,-0.02327564,3.6163125
189,CCCC1=NC(C)=C(COC(=O)C2=CC=C(C3=CSN=N3)C=C2)O1,-4.159563,-0.13686097,4.2948823
190,CCN(CCS(C)(=O)=O)C(=O)C(F)(F)C1=CN=CC=N1,-3.440249,0.9607356,3.8765376
191,C1COC2(C1)CCC(NC1CC3CCC1C3)CC2,-4.392015,0.7912497,3.9663014
192,CN(C)C(=O)COCC1CN(C(=O)C2=NN(C3=CC=CC=C3)C(C3=CC=CC=C3)C2)CC(C)(C)O1,-4.3407855,0.90287364,5.4003334
193,CCC1=CC(NC(CC#N)C2=CC=CC=C2)=NC=N1,-4.036129,0.114572324,4.2948236
194,N#CC1=CC(C(=O)NCC2=NN=C(C3CC3)O2)=C[NH]1,-4.276765,0.24756947,3.7668338
195,CC(C)(C)OC(=O)N[C@@H]1COC[C@@H]1NC(=O)CC1=CC=C(C2CCCCC2)C=C1,-4.7897773,0.28849718,4.983056
196,CC(C)(CC1=CC=C(Cl)C=C1)C1=NOC(C2=CC=C(N3CCOCC3)N=C2)=N1,-4.9308386,0.17338443,4.5793
197,N#CC1=CC=C(N2CC(C(=O)N3CCC(O)(CC4=CC=CC(Cl)=C4)C3)CC2=O)C=C1,-4.8809214,0.8105838,4.941098
198,OC1=CC=C(Cl)C(CSCC2CCCOC2)=C1,-4.305361,-1.6258073,3.844503
199,CC1(C)COC(C2=CC=CC=C2)CN1CC1CN(C2CC2)C(=O)O1,-4.37014,0.51848036,4.8565884
200,CC(C)C1=CN=C(CN(C)CC2=CC=CC=C2Cl)S1,-4.067118,0.005699907,3.9953911
